Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2018-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bhutan,BTN,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.1375715143,0.4009444469,0.8646285642,1.6758025838,2.4369123995,3.1569841961,3.8471067449,4.5183172582,5.92,6.55,7.17,13.6,14.4,15.6,22.4,30.3,39.8,41.7726445322,
Botswana,BWA,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.064521041,0.1574542296,0.3077468499,0.6024009291,1.1223914736,2.9026666218,3.430886787,3.3859223506,3.3451901741,3.3048892532,3.2625540361,4.2899329752,5.28,6.25,6.15,6,9,16,30,36.7447474442,37.3120503733,39.36299738,
Central African Republic,CAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.0058495028,0.0142708807,0.0278782013,0.0408942872,0.0533941742,0.0785434278,0.1285371165,0.1515633379,0.2234013955,0.2681956092,0.3111591732,0.375815961,1,1.8,2,2.2,3,3.4,3.6,3.8,4,
Canada,CAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3609997006,0.5703859263,0.9159810402,1.1845575091,2.378693853,4.1635252527,6.7602396505,15.0723573636,24.8974003031,36.1864400395,51.3,60.2,61.5932992682,64.2,65.9559634649,71.66,72.4,73.2,76.7,80.3,80.3,83,83,85.8,87.12,88.47,89.84,
Central Europe and the Baltics,CEB,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.148652395,0.3892846016,0.6220214336,1.0688292923,1.7919969511,3.5153024335,4.9675218173,7.0541692929,10.2393218027,18.2553190537,22.5921245779,29.2447368561,34.7495541297,40.7996109435,45.2842744733,50.6885905653,55.1028333733,58.5992965115,59.1222464765,61.7286949263,63.4756186304,66.495036249,67.359245017,71.3504111076,
Switzerland,CHE,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5957142234,1.1799559699,1.7517133216,2.1672702033,2.7200043291,3.5520072109,4.5496567482,15.1,24.8,34,47.1,55.1,61.4,65.1,67.8,70.1,75.7,77.2,79.2,81.3,83.9,85.1930281805,85.2,86.34,87.4,87.4790555979,89.1346877351,
Channel Islands,CHI,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0365489382,0.0717831443,0.1410845067,0.3469807814,0.6834756102,1.057092496,1.6623220218,4.1034192972,16.6,19.1,22.1,25.4737788865,28.1779101232,31.1753470304,34.4977511736,35.9,37.3,41.56,45,52.2496072878,55.05,58,61.11,64.289,66.01,
China,CHN,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0001686803,0.0011681145,0.0049547095,0.0130816918,0.0323948609,0.1685402973,0.7081879568,1.7759132068,2.6396502149,4.5957043308,6.2,7.3,8.5232570027,10.5231526194,16,22.6,28.9,34.3,38.3,42.3001174856,45.8,47.9,50.3,53.2,
Cote d'Ivoire,CIV,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.0002002556,0.0084097798,0.0188283613,0.0609744386,0.1186859167,0.2314616706,0.3957477022,0.4979293608,0.7586696295,0.8492824147,1.0392382051,1.5249007912,1.8,1.9,2,2.7,2.9,5,12,19.2742298,21.88520842,26.5272256146,
Cameroon,CMR,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0.0067687443,0.0132163405,0.1290675809,0.2521200777,0.2770513218,0.3608715843,0.5876226111,0.9760754155,1.4026542258,2.0287447915,2.93,3.4,3.84,4.3,5,7.5,10,16.2148722258,20.6801476606,25,
"Congo, Dem. Rep.",COD,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.0001082067,0.0002112132,0.0004130652,0.0010090761,0.0059021137,0.0114757819,0.0927907025,0.1349148374,0.1962083752,0.2380377987,0.2960536103,0.37,0.44,0.56,0.72,1.2,1.6799610146,2.2,3,3.7999995073,6.2099740603,
"Congo, Rep.",COG,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.0035268604,0.0034691036,0.0034151431,0.0167910492,0.0263547321,0.0322236164,0.1572495172,0.4600141868,1.0775049296,1.4634200595,2.0079900794,2.7597043737,4.2875099028,4.5,5,5.6,6.1066950244,6.6,7.11,7.6159746621,8.1219493235,
Colombia,COL,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.1071739453,0.1880467904,0.3300177727,0.5505210232,1.1262252446,1.6977307936,2.2075329926,2.8541999713,4.6,7.3889237105,9.118690303,11.0072638905,15.3416745366,21.8,25.6,30,36.5,40.3509157546,48.98,51.7,52.57,55.9049725143,58.1364935729,
Comoros,COM,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0.0378709698,0.1481629644,0.2717406073,0.4430683725,0.554869675,0.8481893702,1.3273271779,2,2.2,2.5,3,3.5,5.1,5.5,5.9752963084,6.5,6.98,7.4591613856,7.9383227708,
Cabo Verde,CPV,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0.2409679199,0.4727350084,1.1599824611,1.8224438516,2.6853327127,3.518757175,4.3248853905,5.3188320696,6.0740871066,6.8089110075,8.2832198195,14,21,30,32,34.74,37.5,40.26,47.96162392,50.3228178677,
Costa Rica,CRI,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0011133254,0.0815097538,0.2799124787,0.4168292061,0.8410570405,1.6402212877,2.6663786978,3.9043232571,5.8002530233,9.559482135,19.8948511346,20.3336148144,20.7923067056,22.07,25.1,28.4,32.29,34.33,36.5,39.2121959962,47.5,45.96,53,59.7629501372,66.0287128511,
Caribbean small states,CSS,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.1945179,0.5540628119,0.9026566009,1.9406150042,3.3688463844,4.9225548552,8.3083207445,11.7462745452,14.8983457766,16.8166997277,19.4252818916,22.2939335678,24.5022874668,27.6745283225,31.7555302993,35.4076901105,42.1843231942,42.5524824731,45.335287042,48.3309139259,50.8981648475,53.8099889236,
Cuba,CUB,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.000091658,0.0319490014,0.0682202138,0.2266991989,0.3146905412,0.5411825488,1.0797517219,3.7705850377,5.2412690537,8.407984759,9.7380622078,11.1596013148,11.69,12.94,14.33,15.9,16.0172907996,21.2,27.93,29.0701843657,37.3050974155,38.76586728,
Curacao,CUW,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.8555107406,
Cayman Islands,CYM,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,3.9489671932,,,,,,,,,,38.0343830823,44.5,52,61,64.5,66,69.46594499,69.7,71.4,74.1,77,79,
Cyprus,CYP,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0500604301,0.0563674822,0.1110346206,0.4101206848,0.6733435412,4.378272095,8.8905391589,11.3423986595,15.255394371,18.8187590408,28.32,30.09,33.83,32.81,35.83,40.77,42.31,49.81,52.99,56.8598923504,60.6898684002,65.4548,69.33,71.7159,75.9003601905,
Czech Republic,CZE,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.5813195294,1.2592178378,1.4535758402,1.9403781933,2.9156986952,3.895906065,6.8328020179,9.7805278883,14.6971721171,23.93,34.3,35.5,35.27,47.93,51.93,62.97,64.43,68.82,70.49,73.4300078241,74.1104,74.2317116367,75.6688386993,76.481201378,
Germany,DEU,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1258922234,0.2502741534,0.4352852902,0.4636350965,0.9225410431,1.8377377536,3.0548052343,6.7110874767,9.8778524281,20.845982639,30.2163466049,31.6509394163,48.82,55.9,64.73,68.71,72.16,75.16,78,79,82,81.269999536,82.3499984738,84.17,86.19,87.5898,89.6471005903,
Djibouti,DJI,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.0160308305,0.0311662407,0.0829414976,0.094696004,0.1057619088,0.1945005284,0.343526263,0.4869717045,0.6259402294,0.7813171751,0.9536114493,1.2700411592,1.62,2.26,4,6.5,7,8.267232892,9.5,10.71,11.9224314345,13.1349151074,
Dominica,DMA,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.5487627365,1.1655181457,,2.9253451907,2.9321643771,8.8148441976,13.2452280387,18.4248927671,23.620419853,30.3196130922,38.5436432638,39.3981743035,40.2744630072,41.16,42.02,47.45,48.6,49.8,51,57.5,65,67.03,
Denmark,DNK,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0972772676,0.1940565147,0.3869139511,0.5783299758,1.3443077497,3.8256564205,5.7149878414,11.3820049364,22.6687461463,30.5920406509,39.1724308555,42.9575247202,64.25,76.26,80.93,82.74,86.65,85.03,85.02,86.84,88.72,89.8100133895,92.2600117153,94.6297,95.99,96.3305,96.9677852517,
Dominican Republic,DOM,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.0172336008,0.0749870526,0.1426875655,0.233914189,1.1047438738,3.7046923559,4.4293906967,6.8237257326,7.8983929372,8.8655534607,11.4831977789,14.8449283655,17.66,20.82,27.72,31.4,38,42.32,45.9,49.58,54.215766337,61.3281904078,
Algeria,DZA,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.0003606736,0.001768954,0.0017385332,0.0102684632,0.0202385545,0.199523843,0.4917056791,0.6461140167,1.5916412604,2.1953597309,4.6344750878,5.843942092,7.3759849563,9.4511906256,10.18,11.23,12.5,14.9,18.2,22.5,29.5,38.2,42.94552688,
East Asia & Pacific (excluding high income),EAP,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0011582639,0.0040176702,0.0130588936,0.0336517251,0.0941908498,0.3235464453,0.8531074677,1.8940623183,2.7792797115,4.405035633,5.7615847618,6.8824352202,8.3140271951,10.168537204,14.378806408,19.2584406085,23.7663125363,28.9574820384,32.3822165386,36.0611003034,39.6964037227,42.0464015787,45.2130809268,48.4161275155,
Early-demographic dividend,EAR,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000245373,,,,0.015026421,0.0455873567,0.0807504575,0.1636095054,0.3440594068,0.6136772992,1.2329200886,1.6890453852,2.8374976868,3.4009454059,4.2090143236,4.8835533176,5.7666032687,7.3329218245,8.4987432472,9.6978576438,12.8354250471,15.4762500931,18.129745642,20.9688841013,25.5160900113,30.323612018,33.5956870151,
East Asia & Pacific,EAS,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00725637,,,0.0795225146,0.1177737705,0.210585203,0.467733835,1.085084512,1.8889167556,3.4263099978,5.6219434343,7.2981896366,9.049508316,10.6049402811,12.6620157847,14.7196417154,16.6695480674,20.8154929914,25.2995101051,29.55359909,34.2697996826,37.3984393439,40.7375318364,44.6038360585,46.8366418502,49.8297462108,52.9320453188,
Europe & Central Asia (excluding high income),ECA,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0090940068,0.0374871267,0.0888167455,0.1883413248,0.3608750494,0.6755214534,1.1032362734,1.9685592006,2.8754082131,5.0069072926,7.2916811247,10.6954208363,12.4163704573,14.9578940838,20.3173862144,23.8289996753,27.3983889077,35.5751350029,40.517851838,48.7994746243,52.7532547606,56.8437708842,60.0666238973,62.3493155992,
